download url,date
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2386.mp3,"2386 - October 7, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2387.mp3,"2387 - October 8, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2388.mp3,"2388 - October 9, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2389.mp3,"2389 - October 15, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2390.mp3,"2390 - October 16, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2391.mp3,"2391 - November 4, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2392.mp3,"2392 - November 5, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2393.mp3,"2393 - November 6, 2024 .mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2394.mp3,"2394 - November 12, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2395.mp3,"2395 - November 13, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2396.mp3,"2396 - December 2, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2397.mp3,"2397 - December 3, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2398.mp3,"2398 - December 4, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2399.mp3,"2399 - December 9, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2400.mp3,"2400 - December 10, 2024.mp3"
https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/mopix/267a/GOLD/2024_term/267-2401.mp3,"2401 - December 11, 2024.mp3"
