"Advocate Name","Advocate Argument Number","Argument Date","Term","Case Number","Case Title","Citation","URL"
"Beth S. Brinkmann",20,"2004-10-05","2004-10","03-409","KP Permanent Make-Up, Inc. v. Lasting Impression I, Inc.","543 U.S. 111 (2004)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-409&event=1"
"Beth S. Brinkmann",21,"2007-01-08","2006-10","06-116","Limtiaco v. Camacho","549 U.S. 483 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=06-116&event=1"
"Beth S. Brinkmann",22,"2007-11-07","2007-10","06-989","Hall Street Associates, L.L.C. v. Mattel, Inc.","552 U.S. 576 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-989&event=1"
"Beth S. Brinkmann",23,"2007-11-28","2007-10","06-457","Rowe v. New Hampshire Motor Transport Association","552 U.S. 364 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-457&event=1"
"Beth S. Brinkmann",24,"2008-01-16","2007-10","06-1413","MeadWestvaco Corp. v. Illinois Department of Revenue","553 U.S. 16 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=06-1413&event=1"
"Beth S. Brinkmann",25,"2019-02-19","2018-10","17-1594","Return Mail, Inc. v. Postal Service","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-1594&event=2"
"Beth S. Brinkmann",26,"2022-02-28","2021-10","20-1530","West Virginia v. EPA","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-1530&event=1"
"Betty D. Friedlander",1,"1966-11-07","1966-10","47","United States v. Fabrizio","385 U.S. 263 (1966)","https://argumentaloud.org/courts/ussc/?term=1966-10&case=47&event=1"
"Betty Jo Christian",1,"1973-02-28","1972-10","72-214,72-433","Atchison, Topeka & Santa Fe Railway Company v. Wichita Board of Trade","412 U.S. 800 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=72-214%2C72-433&event=1"
"Betty Jo Christian",2,"1987-03-25","1986-10","86-337","Burlington Northern Railroad Company v. Oklahoma Tax Commission","481 U.S. 454 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-337&event=1"
"Betty Jo Christian",3,"1992-04-20","1991-10","91-779","Burlington Northern Railroad Company v. Ford","504 U.S. 648 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=91-779&event=1"
"Betty Jo Christian",4,"1993-12-07","1993-10","92-1402","C & A Carbone, Inc. v. Town of Clarkstown","511 U.S. 383 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=92-1402&event=1"
"Betty R. Brown",1,"1974-12-18","1974-10","73-1573","Withrow v. Larkin","421 U.S. 35 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-1573&event=1"
"Beverly J. Hodgson",1,"1981-12-09","1981-10","80-986","North Haven Bd. of Educ. v. Bell","456 U.S. 512 (1982)","https://argumentaloud.org/courts/ussc/?term=1981-10&case=80-986&event=1"
"Beverly P. Downing",1,"1999-04-21","1998-10","98-536","Olmstead v. L. C.","527 U.S. 581 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=98-536&event=1"
"Beverly Tarpley",1,"1957-04-02","1956-10","321","Thomson v. Texas & Pacific Railway Co.","353 U.S. 926 (1957)","https://argumentaloud.org/courts/ussc/?term=1956-10&case=321&event=1"
"Beverly Van Ness",1,"1999-11-01","1999-10","98-1170","Portuondo v. Agard","529 U.S. 61 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=98-1170&event=1"
"Blanca Bianchi de la Torre",1,"1980-10-07","1980-10","79-952","Thomas v. Review Board of the Indiana Employment Security Division","450 U.S. 707 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=79-952&event=1"
"Blanch Freedman",1,"1954-03-10","1953-10","431","Barber v. Gonzales","347 U.S. 637 (1954)","https://argumentaloud.org/courts/ussc/?term=1953-10&case=431"
"Blanch Freedman",2,"1955-10-19","1955-10","29","Nukk v. Shaughnessy","350 U.S. 869 (1955)","https://argumentaloud.org/courts/ussc/?term=1955-10&case=29&event=1"
"Blanch Freedman",3,"1967-03-14","1966-10","440","Boutilier v. Immigration and Naturalization Service","387 U.S. 118 (1967)","https://argumentaloud.org/courts/ussc/?term=1966-10&case=440&event=1"
"Bonita L. Kneeland",1,"1990-01-17","1989-10","88-2035","Adams Fruit Company, Inc. v. Barrett","494 U.S. 638 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-2035&event=1"
"Bonnie I. Robin-Vergeer",1,"2001-10-29","2001-10","00-6933","Lee v. Kemna","534 U.S. 362 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-6933&event=1"
"Bonnie I. Robin-Vergeer",2,"2005-10-12","2005-10","04-473","Garcetti v. Ceballos","547 U.S. 410 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-473&event=1"
"Bonnie I. Robin-Vergeer",3,"2006-03-21","2005-10","04-473","Garcetti v. Ceballos","547 U.S. 410 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-473&event=3"
"Brenda G. Bryn",1,"2018-10-09","2018-10","17-5554","Stokeling v. United States","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-5554&event=2"
"Brenda Soloff",1,"1968-03-27","1967-10","71","Carafas v. LaVallee","391 U.S. 234 (1968)","https://argumentaloud.org/courts/ussc/?term=1967-10&case=71&event=1"
"Brenda Soloff",2,"1970-02-24","1969-10","153","McMann v. Richardson","397 U.S. 759 (1970)","https://argumentaloud.org/courts/ussc/?term=1969-10&case=153&event=1"
"Brenda Soloff",3,"1970-10-20","1970-10","69","Wyman v. James","400 U.S. 309 (1971)","https://argumentaloud.org/courts/ussc/?term=1970-10&case=69&event=1"
"Brenda Soloff",4,"1973-10-10","1973-10","72-331","Lefkowitz v. Turley","414 U.S. 70 (1973)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=72-331&event=1"
"Brenda Wright",1,"1997-01-06","1996-10","95-2031","Young v. Fordice","520 U.S. 273 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=95-2031&event=1"
"Brenda Wright",2,"2006-02-28","2005-10","04-1528,04-1530,04-1697","Randall v. Sorrell","548 U.S. 230 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1528%2C04-1530%2C04-1697&event=1"
"Bridget A. Chambers",1,"1998-11-03","1998-10","97-7597","Knowles v. Iowa","525 U.S. 113 (1998)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=97-7597&event=1"
"Bridget C. Asay",1,"2011-04-26","2010-10","10-779","Sorrell v. IMS Health Inc.","564 U.S. 552 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=10-779&event=2"
"Bridget C. Asay",2,"2015-12-02","2015-10","14-181","Gobeille v. Liberty Mut. Ins. Co.","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-181&event=2"
"Bridget R. Steller",1,"1990-03-21","1989-10","89-474","Grady v. Corbin","495 U.S. 508 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=89-474&event=1"
"Caitlin Halligan",1,"2004-12-07","2004-10","03-1116,03-1120,03-1274","Granholm v. Heald","544 U.S. 460 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-1116%2C03-1120%2C03-1274&event=1"
"Caitlin Halligan",1,"2004-12-07","2004-10","03-1116,03-1120,03-1274","Granholm v. Heald","544 U.S. 460 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-1116%2C03-1120%2C03-1274&event=1"
"Caitlin J. Halligan",2,"2005-01-11","2004-10","03-855","City of Sherrill v. Oneida Indian Nation of New York","544 U.S. 197 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-855&event=1"
"Caitlin J. Halligan",3,"2007-01-08","2006-10","05-1345","United Haulers Assocation, Inc. v. Oneida-Herkimer Solid Waste Management Authority","550 U.S. 330 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=05-1345&event=1"
"Caitlin J. Halligan",4,"2008-11-04","2008-10","07-1059,07-1078","United States v. Eurodif S.A.","555 U.S. 305 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-1059%2C07-1078&event=1"
"Caitlin J. Halligan",5,"2011-03-21","2010-10","09-11556","Tolentino v. New York","563 U.S. 123 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-11556&event=2"
"Caitlin J. Halligan",6,"2014-12-03","2014-10","12-1226","Young v. United Parcel Service, Inc.","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=12-1226&event=2"
"Candace Cain",1,"2011-10-03","2011-10","10-6549","Reynolds v. United States","565 U.S. 432 (2012)","https://argumentaloud.org/courts/ussc/?term=2011-10&case=10-6549&event=2"
"Carel T. Hedlund",1,"1993-03-22","1992-10","91-2079","Good Samaritan Hospital v. Shalala","508 U.S. 402 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-2079&event=1"
"Carla J. Johnson",1,"1990-11-05","1990-10","89-7272","Harmelin v. Michigan","501 U.S. 957 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-7272&event=1"
"Carla J. Stovall",1,"1996-12-10","1996-10","95-1649,95-9075","Kansas v. Hendricks","521 U.S. 346 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=95-1649%2C95-9075&event=1"
"Carla J. Stovall",2,"2001-10-30","2001-10","00-957","Kansas v. Crane","534 U.S. 407 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-957&event=1"
"Carla S. Sigler",1,"2013-01-14","2012-10","11-9953","Boyer v. Louisiana","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-9953&event=2"
"Carley J. Ingram",1,"1996-10-08","1996-10","95-891","Ohio v. Robinette","519 U.S. 33 (1996)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=95-891&event=1"
"Carmen L. Massey",1,"1972-04-10","1971-10","70-250","Carleson v. Remillard","406 U.S. 598 (1972)","https://argumentaloud.org/courts/ussc/?term=1971-10&case=70-250&event=1"
"Carmen M. Shepard",1,"1997-12-08","1997-10","96-8653","Gray v. Maryland","523 U.S. 185 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-8653&event=1"
"Carol A. Carrigan",1,"1994-12-07","1994-10","93-1660","Arizona v. Evans","514 U.S. 1 (1995)","https://argumentaloud.org/courts/ussc/?term=1994-10&case=93-1660&event=1"
"Carol A. Hewitt",1,"1981-03-23","1980-10","80-429","County of Washington v. Gunther","452 U.S. 161 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=80-429&event=1"
"CAROL ATHA COSGROVE",1,"1981-04-28","1980-10","80-850","Jones v. Helms","452 U.S. 412 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=80-850&event=1"
"Carol Connor Flowe",1,"1990-02-27","1989-10","89-390","Pension Benefit Guaranty Corporation v. LTV Corporation","496 U.S. 633 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=89-390&event=1"
"Carol C. Flowe",2,"1992-12-01","1992-10","91-904","Concrete Pipe and Products of California, Inc. v. Construction Laborers Pension Trust for Southern California","508 U.S. 602 (1993)","https://argumentaloud.org/courts/ussc/?term=1992-10&case=91-904&event=1"
"Carol F. Jorstad",1,"1999-10-05","1999-10","98-1037","Smith v. Robbins","528 U.S. 259 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=98-1037&event=1"
"Carol Los Mansmann",1,"1978-10-03","1978-10","77-891","Colautti v. Franklin","439 U.S. 379 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-891&event=1"
"Carol M. Dittmar",1,"1997-01-15","1996-10","96-5658","Lambrix v. Singletary","520 U.S. 518 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=96-5658&event=1"
"Carol Mary Los",1,"1970-04-27","1969-10","830","Chambers v. Maroney","399 U.S. 42 (1970)","https://argumentaloud.org/courts/ussc/?term=1969-10&case=830&event=1"
"Carol Mary Los",2,"1970-12-17","1970-10","121","Mayberry v. Pennsylvania","400 U.S. 455 (1971)","https://argumentaloud.org/courts/ussc/?term=1970-10&case=121&event=1"
"Carol Weiss King",1,"1951-11-26","1951-10","35,136","Carlson v. Landon","342 U.S. 524 (1952)","https://argumentaloud.org/courts/ussc/?term=1951-10&case=35%2C136"
"Carole F. Grossman",1,"1987-01-13","1986-10","85-1409","Bowen v. Yuckert","482 U.S. 137 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-1409&event=1"
"CAROLE M. STANYAR",1,"1988-02-24","1987-10","86-1824","Michigan v. Chesternut","486 U.S. 567 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-1824&event=1"
"Caroline A. Flynn",1,"2023-03-29","2022-10","22-196","Samia v. United States","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=22-196&event=2"
"Caroline A. Flynn",2,"2023-10-11","2023-10","22-807","Alexander v. SC Conference of NAACP","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-807&event=2"
"Caroline A. Flynn",3,"2024-03-25","2023-10","23-250","Becerra, Sec. of H&HS v. San Carlos Apache Tribe","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23-250&event=2"
"Caroline A. Flynn",4,"2025-01-14","2024-10","23-1095","Thompson v. United States","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-1095&event=2"
"Caroline A. Flynn",5,"2025-04-28","2024-10","24-320","Soto v. United States","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=24-320&event=2"
"Caroline Mitchell",1,"1987-02-25","1986-10","85-2169","Saint Francis College v. Al-Khazraji","481 U.S. 604 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-2169&event=1"
"Carolou Perry Durham",1,"1987-11-03","1987-10","86-937","United States v. Robinson","485 U.S. 25 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-937&event=1"
"Carolyn A. Kubitschek",1,"2011-03-01","2010-10","09-1454,09-1478","Camreta v. Greene","563 U.S. 692 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-1454%2C09-1478&event=2"
"Carolyn B. Kuhl",1,"1986-01-22","1985-10","84-1728","Equal Employment Opportunity Commission v. Federal Labor Relations Authority","476 U.S. 19 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1728&event=1"
"Carolyn B. Kuhl",2,"1986-02-26","1985-10","84-1905","Bowen v. Owens","476 U.S. 340 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1905&event=1"
"Carolyn B. Kuhl",3,"1986-03-25","1985-10","84-1777","International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America v. Brock","477 U.S. 274 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1777&event=1"
"Carolyn B. Kuhl",4,"1986-04-22","1985-10","85-93,85-428","Bazemore v. Friday","478 U.S. 385 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=85-93%2C85-428&event=1"
"Carolyn E. Shapiro",1,"2016-01-12","2015-10","14-1516","Duncan v. Owens","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-1516&event=2"
"Carolyn F. Corwin",1,"1982-11-30","1982-10","81-1181","Lockheed Aircraft Corp. v. United States","460 U.S. 190 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=81-1181&event=1"
"Carolyn F. Corwin",2,"1983-03-29","1982-10","81-2257","Bill Johnson's Restaurants, Inc. v. NLRB","461 U.S. 731 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=81-2257&event=1"
"Carolyn F. Corwin",3,"1984-11-06","1984-10","83-1394","United States v. Locke","471 U.S. 84 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-1394&event=1"
"Carolyn F. Corwin",4,"1984-12-03","1984-10","83-1623","Anderson v. City of Bessemer","470 U.S. 564 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-1623&event=1"
"Carolyn F. Corwin",5,"1985-04-17","1984-10","84-589","Dowling v. United States","473 U.S. 207 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=84-589&event=1"
"Carolyn F. Corwin",1,"1983-10-11","1983-10","82-799","Bureau of Alcohol, Tobacco and Firearms v. Federal Labor Relations Authority","464 U.S. 89 (1983)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-799&event=1"
"Carolyn Corwin",2,"1984-03-27","1983-10","83-346","United States v. Yermian","468 U.S. 63 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=83-346&event=1"
"Carolyn Corwin",3,"1984-04-23","1983-10","83-838","United States v. Lorenzetti","467 U.S. 167 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=83-838&event=1"
"Carolyn J. Colville",1,"1979-03-21","1978-10","78-5283","Jackson v. Virginia","443 U.S. 307 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=78-5283&event=1"
"Carolyn M. Snurkowski",1,"1983-02-23","1982-10","81-2318","Florida v. Casal","462 U.S. 637 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=81-2318&event=1"
"Carolyn M. Snurkowski",2,"1984-01-10","1983-10","82-1554","Strickland v. Washington","466 U.S. 668 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-1554&event=1"
"Carolyn M. Snurkowski",3,"1990-11-07","1990-10","89-5961","Parker v. Dugger","498 U.S. 308 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-5961&event=1"
"Carolyn M. Snurkowski",4,"1992-03-02","1991-10","91-5843","Sochor v. Florida","504 U.S. 527 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=91-5843&event=1"
"Carolyn M. Snurkowski",5,"1999-03-23","1998-10","98-223","Florida v. White","526 U.S. 559 (1999)","https://argumentaloud.org/courts/ussc/?term=1998-10&case=98-223&event=1"
"Carolyn M. Snurkowski",6,"2006-04-26","2005-10","05-8794","Hill v. McDonough","547 U.S. 573 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=05-8794&event=1"
"Carolyn Corwin",1,"1984-10-03","1984-10","83-728","Herb's Welding, Inc. v. Gray","470 U.S. 414 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-728&event=1"
"Carolyn P. Chiechi",1,"1989-04-18","1988-10","88-396","Colonial American Life Ins. Company v. Commissioner of Internal Revenue","491 U.S. 244 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=88-396&event=1"
"Catherine Baker Chatman",1,"2005-11-09","2005-10","04-721","Evans v. Chavis","546 U.S. 189 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-721&event=1"
"Catherine McLamb",1,"1987-04-22","1986-10","86-509,86-564","Bowen v. Gilliard","483 U.S. 587 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-509%2C86-564&event=1"
"Catherine E. Stetson",1,"2008-04-16","2007-10","07-371","Taylor v. Sturgell","553 U.S. 880 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-371&event=1"
"Catherine E. Stetson",2,"2016-11-02","2016-10","15-423","Bolivarian Republic of Venezuela v. Helmerich & Payne Int'l Drilling Co.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-423&event=2"
"Catherine E. Stetson",3,"2024-02-21","2023-10","23A349","Ohio v. EPA","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23A349&event=2"
"Catherine E. Stetson",4,"2025-03-04","2024-10","23-1141","Smith & Wesson Brands v. Estados Unidos Mexicanos","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-1141&event=2"
"Catherine G. O’Sullivan",1,"1985-02-19","1984-10","83-1368","Northwest Wholesale Stationers, Inc. v. Pacific Stationery & Printing Company","472 U.S. 284 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-1368&event=1"
"Catherine Hancock",1,"1990-04-25","1989-10","89-5809","Sawyer v. Smith","497 U.S. 227 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=89-5809&event=1"
"Catherine M. Harper",1,"1987-03-02","1986-10","85-2099","Pennsylvania v. Finley","481 U.S. 551 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-2099&event=1"
"Catherine M.A. Carroll",1,"2013-10-15","2013-10","12-729","Heimeshoff v. Hartford Life & Accident Ins. Co.","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-729&event=2"
"Catherine M.A. Carroll",2,"2015-11-30","2015-10","14-613","Green v. Brennan","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-613&event=2"
"Catherine M.A. Carroll",3,"2016-11-02","2016-10","15-423","Bolivarian Republic of Venezuela v. Helmerich & Payne Int'l Drilling Co.","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-423&event=2"
"Catherine M.A. Carroll",4,"2021-11-08","2021-10","20-828","FBI v. Fazaga","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-828&event=2"
"Catherine Steege",1,"2015-01-14","2014-10","13-935","Wellness Int'l Network Ltd. v. Sharif","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-935&event=2"
"Catherine W. Smith",1,"2000-01-12","1999-10","99-138","Troxel v. Granville","530 U.S. 57 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-138&event=1"
"Catherine Zorn",1,"1961-03-30","1960-10","102","Kolovrat v. Oregon","366 U.S. 187 (1961)","https://argumentaloud.org/courts/ussc/?term=1960-10&case=102&event=1"
"Catherine Zorn",2,"1961-04-25","1960-10","329","United States v. Oregon","366 U.S. 643 (1961)","https://argumentaloud.org/courts/ussc/?term=1960-10&case=329&event=1"
"Cathryn A. Neaves",1,"2004-12-01","2004-10","03-8661","Smith v. Massachusetts","543 U.S. 462 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-8661&event=1"
"Cecillia D. Wang",1,"2018-10-10","2018-10","16-1363","Nielsen v. Preap","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=16-1363&event=2"
"CECILLIA D. WANG",2,"2026-04-01","2025-10","25-365","Trump, President of U.S. v. Barbara","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=25-365&event=2"
"Celia A. Davis",1,"2009-10-05","2009-10","08-680","Maryland v. Shatzer","559 U.S. 98 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-680&event=1"
"Charlotte Uram",1,"1983-03-30","1982-10","65-Orig","Texas v. New Mexico","462 U.S. 554 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=65-Orig&event=1"
"Charlotte Uram",2,"1987-04-29","1986-10","65-Orig","Texas v. New Mexico","482 U.S. 124 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=65-Orig&event=1"
"Cheryl C. Nield",1,"2005-03-01","2004-10","04-5293","Deck v. Missouri","544 U.S. 622 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-5293&event=1"
"Cheryl Helena Chapman",1,"1982-11-10","1982-10","81-1489","Xerox Corporation v. County of Harris","459 U.S. 145 (1982)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=81-1489&event=1"
"Christina A. Swarns",1,"2016-10-05","2016-10","15-8049","Buck v. Davis","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-8049&event=2"
"Christina M. Martin",1,"2023-04-26","2022-10","22-166","Tyler v. Hennepin County","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=22-166&event=2"
"Christina M. Tchen",1,"1991-12-02","1991-10","90-1488","Suter v. Artist M.","503 U.S. 347 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-1488&event=1"
"Christina Rainville",1,"2009-01-13","2008-10","08-88","Vermont v. Brillon","556 U.S. 81 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=08-88&event=1"
"Christine A. Desan-Husson",1,"1989-10-03","1989-10","87-1979,88-127","Chesapeake and Ohio Railway Company v. Schwalb","493 U.S. 40 (1989)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=87-1979%2C88-127&event=1"
"Christine A. Hogan",1,"2000-01-18","1999-10","99-161","Weisgram v. Marley Company","528 U.S. 440 (2000)","https://argumentaloud.org/courts/ussc/?term=1999-10&case=99-161&event=1"
"Christine A. Desan-Husson",1,"1990-01-10","1989-10","88-1951","United States v. Dalm","494 U.S. 596 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-1951&event=1"
"Christine O. Gregoire",1,"1985-02-20","1984-10","84-28,84-143","Brockett v. Spokane Arcades, Inc.","472 U.S. 491 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=84-28%2C84-143&event=1"
"Christine O. Gregoire",2,"1994-02-23","1993-10","92-1911","PUD No. 1 of Jefferson County v. Washington Department of Ecology","511 U.S. 700 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=92-1911&event=1"
"Christine O. Gregoire",3,"2002-12-03","2002-10","01-1420","Washington State Department of Health and Human Services v. Guardianship Estate of Keffeler","537 U.S. 371 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-1420&event=1"
"Christine S. Dahl",1,"2004-10-13","2004-10","03-878,03-7434","Clark v. Martinez","543 U.S. 371 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=03-878%2C03-7434&event=1"
"Christine Van Aken",1,"2015-03-23","2014-10","13-1412","City and County of San Francisco v. Sheehan","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1412&event=1"
"Christine Y. Denson",1,"1971-10-14","1971-10","70-5041","Britt v. North Carolina","404 U.S. 226 (1971)","https://argumentaloud.org/courts/ussc/?term=1971-10&case=70-5041&event=1"
"Cindy S. Lee",1,"2005-10-12","2005-10","04-473","Garcetti v. Ceballos","547 U.S. 410 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-473&event=1"
"Cindy S. Lee",2,"2006-03-21","2005-10","04-473","Garcetti v. Ceballos","547 U.S. 410 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-473&event=3"
"Clarine Nardi Riddle",1,"1989-04-19","1988-10","88-412","Hoffman v. Connecticut Department of Income Maintenance","492 U.S. 96 (1989)","https://argumentaloud.org/courts/ussc/?term=1988-10&case=88-412&event=1"
"Claudia Center",1,"2001-12-04","2001-10","00-1250","US Airways, Inc. v. Barnett","535 U.S. 391 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-1250&event=1"
"Colleen K. Connell",1,"1987-11-03","1987-10","85-673","Hartigan v. Zbaraz","484 U.S. 171 (1987)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=85-673&event=1"
"Colleen E. Roh Sinzdak",1,"2019-04-22","2018-10","18-525","Fort Bend County v. Davis","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=18-525&event=2"
"Colleen E.R. Sinzdak",2,"2020-10-13","2020-10","19-357","Chicago v. Fulton","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-357&event=2"
"Colleen E.R. Sinzdak",3,"2021-02-23","2020-10","19-1155","Wilkinson v. Ming Dai","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-1155&event=2"
"Colleen E.R. Sinzdak",4,"2021-11-30","2021-10","20-219","Cummings v. Premier Rehab","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-219&event=2"
"Colleen E.R. Sinzdak",5,"2022-03-28","2021-10","20-807","LeDure v. Union Pacific Railroad Co.","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-807&event=2"
"Colleen R. Sinzdak",6,"2022-12-05","2022-10","21-1270","MOAC Mall Holdings LLC v. Transform Holdco LLC","","https://argumentaloud.org/courts/ussc/?term=2022-10&case=21-1270&event=2"
